index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
528," \w ט֣וֹב|lemma=""טוֹב"" strong=""H2896a"" x-morph=""He,Aamsa"" x-tw=""rc://*/tw/dict/bible/kt/good""",2,17, ט֣וֹב,,"He,Aamsa",טוֹב,H2896a,False,H2896a,rc://*/tw/dict/bible/kt/good,528,1,1,39-MAL
529," ׀ \w בְּ⁠עֵינֵ֣י|lemma=""עַיִן"" strong=""b:H5869a"" x-morph=""He,R:Ncbdc""",2,17, בְּ⁠עֵינֵ֣י,׀ ,"He,R:Ncbdc",עַיִן,b:H5869a,True,H5869a,,529,1,1,39-MAL
530," \w יְהוָ֗ה|lemma=""יְהֹוָה"" strong=""H3068"" x-morph=""He,Np"" x-tw=""rc://*/tw/dict/bible/kt/yahweh""",2,17, יְהוָ֗ה,,"He,Np",יְהֹוָה,H3068,False,H3068,rc://*/tw/dict/bible/kt/yahweh,530,1,1,39-MAL
531," \w וּ⁠בָ⁠הֶם֙|lemma="""" strong=""c:b"" x-morph=""He,C:R:Sp3mp""",2,17, וּ⁠בָ⁠הֶם֙,,"He,C:R:Sp3mp",,c:b,True,,,531,1,1,39-MAL
532," \w ה֣וּא|lemma=""הוּא"" strong=""H1931"" x-morph=""He,Pp3ms""",2,17, ה֣וּא,,"He,Pp3ms",הוּא,H1931,False,H1931,,532,1,1,39-MAL
533," \w חָפֵ֔ץ|lemma=""חָפֵץ"" strong=""H2654a"" x-morph=""He,Vqp3ms"" x-tw=""rc://*/tw/dict/bible/other/delight""",2,17, חָפֵ֔ץ,,"He,Vqp3ms",חָפֵץ,H2654a,False,H2654a,rc://*/tw/dict/bible/other/delight,533,1,1,39-MAL
534," \w א֥וֹ|lemma=""אוֹ"" strong=""H0176a"" x-morph=""He,C""",2,17, א֥וֹ,,"He,C",אוֹ,H0176a,False,H0176a,,534,1,1,39-MAL
535," \w אַיֵּ֖ה|lemma=""אַיֵּה"" strong=""H0346"" x-morph=""He,Ti""",2,17, אַיֵּ֖ה,,"He,Ti",אַיֵּה,H0346,False,H0346,,535,1,1,39-MAL
536," \w אֱלֹהֵ֥י|lemma=""אֱלֹהִים"" strong=""H0430"" x-morph=""He,Ncmpc"" x-tw=""rc://*/tw/dict/bible/kt/god""",2,17, אֱלֹהֵ֥י,,"He,Ncmpc",אֱלֹהִים,H0430,False,H0430,rc://*/tw/dict/bible/kt/god,536,1,1,39-MAL
537," \w הַ⁠מִּשְׁפָּֽט|lemma=""מִשְׁפָּט"" strong=""d:H4941"" x-morph=""He,Td:Ncmsa"" x-tw=""rc://*/tw/dict/bible/other/ordinance""",2,17, הַ⁠מִּשְׁפָּֽט,,"He,Td:Ncmsa",מִשְׁפָּט,d:H4941,True,H4941,rc://*/tw/dict/bible/other/ordinance,537,1,1,39-MAL
539,"\w הִנְ⁠נִ֤י|lemma=""הֵן"" strong=""H2005"" x-morph=""He,Tm:Sp1cs""",3,1, הִנְ⁠נִ֤י,,"He,Tm:Sp1cs",הֵן,H2005,False,H2005,,539,1,1,39-MAL
540," \w שֹׁלֵחַ֙|lemma=""שָׁלַח"" strong=""H7971"" x-morph=""He,Vqrmsa""",3,1, שֹׁלֵחַ֙,,"He,Vqrmsa",שָׁלַח,H7971,False,H7971,,540,1,1,39-MAL
