index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
30," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,2, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,30,1,1,51-PHP
31," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,2, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,31,1,1,51-PHP
32," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,2, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,32,1,1,51-PHP
34,"\w εὐχαριστῶ|lemma=""εὐχαριστέω"" strong=""G21680"" x-morph=""Gr,V,IPA1,,S,""",1,3, εὐχαριστῶ,,"Gr,V,IPA1,,S,",εὐχαριστέω,G21680,False,G21680,,34,1,1,51-PHP
35," \w τῷ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMS,""",1,3, τῷ,,"Gr,EA,,,,DMS,",ὁ,G35880,False,G35880,,35,1,1,51-PHP
36," \w Θεῷ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,3, Θεῷ,,"Gr,N,,,,,DMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,36,1,1,51-PHP
37," \w μου|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,S,""",1,3, μου,,"Gr,RP,,,1G,S,",ἐγώ,G14730,False,G14730,,37,1,1,51-PHP
38," \w ἐπὶ|lemma=""ἐπί"" strong=""G19090"" x-morph=""Gr,P,,,,,D,,,""",1,3, ἐπὶ,,"Gr,P,,,,,D,,,",ἐπί,G19090,False,G19090,,38,1,1,51-PHP
39," \w πάσῃ|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,DFS,""",1,3, πάσῃ,,"Gr,EQ,,,,DFS,",πᾶς,G39560,False,G39560,,39,1,1,51-PHP
40," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",1,3, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,40,1,1,51-PHP
