index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
35," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,35,2,1,48-2CO
36," \w Πατρὸς|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,GMS,""",1,2, Πατρὸς,,"Gr,N,,,,,GMS,",πατήρ,G39620,False,G39620,,36,1,1,48-2CO
37," \k-e\* \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,2, ἡμῶν,\k-e\* ,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,37,1,1,48-2CO
38," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,2, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,38,2,2,48-2CO
39," \k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*\w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,2, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/jesus""\*","Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/jesus,39,2,2,48-2CO
40," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,""",1,2, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,,40,1,1,48-2CO
41," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,2, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,41,1,1,48-2CO
43,"\w εὐλογητὸς|lemma=""εὐλογητός"" strong=""G21280"" x-morph=""Gr,NP,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/bless""",1,3, εὐλογητὸς,,"Gr,NP,,,,NMS,",εὐλογητός,G21280,False,G21280,rc://*/tw/dict/bible/kt/bless,43,1,1,48-2CO
44," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,3, ὁ,,"Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,44,2,1,48-2CO
45," \k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*\w Θεὸς|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,NMS,""",1,3, ,"\k-s |x-tw=""rc://*/tw/dict/bible/kt/godthefather""\*","Gr,N,,,,,NMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/godthefather,45,1,1,48-2CO
46," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,3, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,46,2,1,48-2CO
47," \w Πατὴρ|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,NMS,""",1,3, Πατὴρ,,"Gr,N,,,,,NMS,",πατήρ,G39620,False,G39620,,47,2,1,48-2CO
48," \k-e\* \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,3, τοῦ,\k-e\* ,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,48,1,1,48-2CO
49," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,3, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,49,1,1,48-2CO
50," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,3, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,50,1,1,48-2CO
51," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,3, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,51,1,1,48-2CO
52," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,3, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,52,1,1,48-2CO
53,", \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NMS,""",1,3, ὁ,", ","Gr,EA,,,,NMS,",ὁ,G35880,False,G35880,,53,2,2,48-2CO
54," \w Πατὴρ|lemma=""πατήρ"" strong=""G39620"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/godthefather""",1,3, Πατὴρ,,"Gr,N,,,,,NMS,",πατήρ,G39620,False,G39620,rc://*/tw/dict/bible/kt/godthefather,54,2,2,48-2CO
55," \w τῶν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMP,""",1,3, τῶν,,"Gr,EA,,,,GMP,",ὁ,G35880,False,G35880,,55,1,1,48-2CO
56," \w οἰκτιρμῶν|lemma=""οἰκτιρμός"" strong=""G36280"" x-morph=""Gr,N,,,,,GMP,"" x-tw=""rc://*/tw/dict/bible/kt/compassion""",1,3, οἰκτιρμῶν,,"Gr,N,,,,,GMP,",οἰκτιρμός,G36280,False,G36280,rc://*/tw/dict/bible/kt/compassion,56,1,1,48-2CO
57," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,3, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,57,2,2,48-2CO
58," \w Θεὸς|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,3, Θεὸς,,"Gr,N,,,,,NMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,58,1,1,48-2CO
59," \w πάσης|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,GFS,""",1,3, πάσης,,"Gr,EQ,,,,GFS,",πᾶς,G39560,False,G39560,,59,1,1,48-2CO
