index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
40," \w Κυρίου|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,3, Κυρίου,,"Gr,N,,,,,GMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,40,1,1,58-PHM
41," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,3, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,41,2,2,58-PHM
42," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,3, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,42,1,1,58-PHM
43," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,3, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,43,1,1,58-PHM
45,"\w εὐχαριστῶ|lemma=""εὐχαριστέω"" strong=""G21680"" x-morph=""Gr,V,IPA1,,S,""",1,4, εὐχαριστῶ,,"Gr,V,IPA1,,S,",εὐχαριστέω,G21680,False,G21680,,45,1,1,58-PHM
46," \w τῷ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMS,""",1,4, τῷ,,"Gr,EA,,,,DMS,",ὁ,G35880,False,G35880,,46,1,1,58-PHM
47," \w Θεῷ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,4, Θεῷ,,"Gr,N,,,,,DMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,47,1,1,58-PHM
48," \w μου|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,S,""",1,4, μου,,"Gr,RP,,,1G,S,",ἐγώ,G14730,False,G14730,,48,2,1,58-PHM
49," \w πάντοτε|lemma=""πάντοτε"" strong=""G38420"" x-morph=""Gr,D,,,,,,,,,""",1,4, πάντοτε,,"Gr,D,,,,,,,,,",πάντοτε,G38420,False,G38420,,49,1,1,58-PHM
50,", \w μνείαν|lemma=""μνεία"" strong=""G34170"" x-morph=""Gr,N,,,,,AFS,""",1,4, μνείαν,", ","Gr,N,,,,,AFS,",μνεία,G34170,False,G34170,,50,1,1,58-PHM
51," \w σου|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,S,""",1,4, σου,,"Gr,RP,,,2G,S,",σύ,G47710,False,G47710,,51,1,1,58-PHM
52," \w ποιούμενος|lemma=""ποιέω"" strong=""G41600"" x-morph=""Gr,V,PPM,NMS,""",1,4, ποιούμενος,,"Gr,V,PPM,NMS,",ποιέω,G41600,False,G41600,,52,1,1,58-PHM
53," \w ἐπὶ|lemma=""ἐπί"" strong=""G19090"" x-morph=""Gr,P,,,,,G,,,""",1,4, ἐπὶ,,"Gr,P,,,,,G,,,",ἐπί,G19090,False,G19090,,53,1,1,58-PHM
54," \w τῶν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFP,""",1,4, τῶν,,"Gr,EA,,,,GFP,",ὁ,G35880,False,G35880,,54,1,1,58-PHM
55," \w προσευχῶν|lemma=""προσευχή"" strong=""G43350"" x-morph=""Gr,N,,,,,GFP,"" x-tw=""rc://*/tw/dict/bible/kt/pray""",1,4, προσευχῶν,,"Gr,N,,,,,GFP,",προσευχή,G43350,False,G43350,rc://*/tw/dict/bible/kt/pray,55,1,1,58-PHM
56," \w μου|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,S,""",1,4, μου,,"Gr,RP,,,1G,S,",ἐγώ,G14730,False,G14730,,56,2,2,58-PHM
58,"\w ἀκούων|lemma=""ἀκούω"" strong=""G01910"" x-morph=""Gr,V,PPA,NMS,""",1,5, ἀκούων,,"Gr,V,PPA,NMS,",ἀκούω,G01910,False,G01910,,58,1,1,58-PHM
59," \w σου|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2G,S,""",1,5, σου,,"Gr,RP,,,2G,S,",σύ,G47710,False,G47710,,59,1,1,58-PHM
60," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",1,5, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,60,2,1,58-PHM
61," \w ἀγάπην|lemma=""ἀγάπη"" strong=""G00260"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/love""",1,5, ἀγάπην,,"Gr,N,,,,,AFS,",ἀγάπη,G00260,False,G00260,rc://*/tw/dict/bible/kt/love,61,1,1,58-PHM
62," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,62,2,1,58-PHM
63," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",1,5, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,63,2,2,58-PHM
64," \w πίστιν|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",1,5, πίστιν,,"Gr,N,,,,,AFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,64,1,1,58-PHM
65,", \w ἣν|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RD,,,,AFS,""",1,5, ἣν,", ","Gr,RD,,,,AFS,",ὅς,G37390,False,G37390,,65,1,1,58-PHM
66," \w ἔχεις|lemma=""ἔχω"" strong=""G21920"" x-morph=""Gr,V,IPA2,,S,""",1,5, ἔχεις,,"Gr,V,IPA2,,S,",ἔχω,G21920,False,G21920,,66,1,1,58-PHM
67," \w πρὸς|lemma=""πρός"" strong=""G43140"" x-morph=""Gr,P,,,,,A,,,""",1,5, πρὸς,,"Gr,P,,,,,A,,,",πρός,G43140,False,G43140,,67,1,1,58-PHM
68," \w τὸν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMS,""",1,5, τὸν,,"Gr,EA,,,,AMS,",ὁ,G35880,False,G35880,,68,1,1,58-PHM
69," \w Κύριον|lemma=""κύριος"" strong=""G29620"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/lord""",1,5, Κύριον,,"Gr,N,,,,,AMS,",κύριος,G29620,False,G29620,rc://*/tw/dict/bible/kt/lord,69,1,1,58-PHM
70," \w Ἰησοῦν|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,AMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,5, Ἰησοῦν,,"Gr,N,,,,,AMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,70,1,1,58-PHM
71,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,71,2,2,58-PHM
72," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",1,5, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,72,1,1,58-PHM
73," \w πάντας|lemma=""πᾶς"" strong=""G39560"" x-morph=""Gr,EQ,,,,AMP,""",1,5, πάντας,,"Gr,EQ,,,,AMP,",πᾶς,G39560,False,G39560,,73,1,1,58-PHM
74," \w τοὺς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AMP,""",1,5, τοὺς,,"Gr,EA,,,,AMP,",ὁ,G35880,False,G35880,,74,1,1,58-PHM
75," \w ἁγίους|lemma=""ἅγιος"" strong=""G00400"" x-morph=""Gr,NS,,,,AMP,"" x-tw=""rc://*/tw/dict/bible/kt/saint""",1,5, ἁγίους,,"Gr,NS,,,,AMP,",ἅγιος,G00400,False,G00400,rc://*/tw/dict/bible/kt/saint,75,1,1,58-PHM
77,"\w ὅπως|lemma=""ὅπως"" strong=""G37040"" x-morph=""Gr,CS,,,,,,,,""",1,6, ὅπως,,"Gr,CS,,,,,,,,",ὅπως,G37040,False,G37040,,77,1,1,58-PHM
78," \w ἡ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,NFS,""",1,6, ἡ,,"Gr,EA,,,,NFS,",ὁ,G35880,False,G35880,,78,1,1,58-PHM
79," \w κοινωνία|lemma=""κοινωνία"" strong=""G28420"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/kt/fellowship""",1,6, κοινωνία,,"Gr,N,,,,,NFS,",κοινωνία,G28420,False,G28420,rc://*/tw/dict/bible/kt/fellowship,79,1,1,58-PHM
