index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
41," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,3, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,41,1,1,49-GAL
42," \w Ἰησοῦ|lemma=""Ἰησοῦς"" strong=""G24240"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/jesus""",1,3, Ἰησοῦ,,"Gr,N,,,,,GMS,",Ἰησοῦς,G24240,False,G24240,rc://*/tw/dict/bible/kt/jesus,42,1,1,49-GAL
43," \w Χριστοῦ|lemma=""χριστός"" strong=""G55470"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/christ""",1,3, Χριστοῦ,,"Gr,N,,,,,GMS,",χριστός,G55470,False,G55470,rc://*/tw/dict/bible/kt/christ,43,1,1,49-GAL
45,"\w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,GMS,""",1,4, τοῦ,,"Gr,RD,,,,GMS,",ὁ,G35880,False,G35880,,45,4,1,49-GAL
46," \w δόντος|lemma=""δίδωμι"" strong=""G13250"" x-morph=""Gr,V,PAA,GMS,""",1,4, δόντος,,"Gr,V,PAA,GMS,",δίδωμι,G13250,False,G13250,,46,1,1,49-GAL
47," \w ἑαυτὸν|lemma=""ἑαυτοῦ"" strong=""G14380"" x-morph=""Gr,RE,,,3AMS,""",1,4, ἑαυτὸν,,"Gr,RE,,,3AMS,",ἑαυτοῦ,G14380,False,G14380,,47,1,1,49-GAL
48," \w περὶ|lemma=""περί"" strong=""G40120"" x-morph=""Gr,P,,,,,G,,,""",1,4, περὶ,,"Gr,P,,,,,G,,,",περί,G40120,False,G40120,,48,1,1,49-GAL
49," \w τῶν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFP,""",1,4, τῶν,,"Gr,EA,,,,GFP,",ὁ,G35880,False,G35880,,49,1,1,49-GAL
50," \w ἁμαρτιῶν|lemma=""ἁμαρτία"" strong=""G02660"" x-morph=""Gr,N,,,,,GFP,"" x-tw=""rc://*/tw/dict/bible/kt/sin""",1,4, ἁμαρτιῶν,,"Gr,N,,,,,GFP,",ἁμαρτία,G02660,False,G02660,rc://*/tw/dict/bible/kt/sin,50,1,1,49-GAL
51," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,4, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,51,2,1,49-GAL
52,", \w ὅπως|lemma=""ὅπως"" strong=""G37040"" x-morph=""Gr,CS,,,,,,,,""",1,4, ὅπως,", ","Gr,CS,,,,,,,,",ὅπως,G37040,False,G37040,,52,1,1,49-GAL
53," \w ἐξέληται|lemma=""ἐξαιρέω"" strong=""G18070"" x-morph=""Gr,V,SAM3,,S,"" x-tw=""rc://*/tw/dict/bible/other/deliverer""",1,4, ἐξέληται,,"Gr,V,SAM3,,S,",ἐξαιρέω,G18070,False,G18070,rc://*/tw/dict/bible/other/deliverer,53,1,1,49-GAL
54," \w ἡμᾶς|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1A,P,""",1,4, ἡμᾶς,,"Gr,RP,,,1A,P,",ἐγώ,G14730,False,G14730,,54,1,1,49-GAL
55," \w ἐκ|lemma=""ἐκ"" strong=""G15370"" x-morph=""Gr,P,,,,,G,,,""",1,4, ἐκ,,"Gr,P,,,,,G,,,",ἐκ,G15370,False,G15370,,55,1,1,49-GAL
