index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
17859,"־\w מְאֹ֑ד|lemma=""מְאֹד"" strong=""H3966"" x-morph=""He,D""",119,43, מְאֹ֑ד,־,"He,D",מְאֹד,H3966,False,H3966,,17859,1,1,19-PSA
17860," \w כִּ֖י|lemma=""כִּי"" strong=""H3588a"" x-morph=""He,C""",119,43, כִּ֖י,,"He,C",כִּי,H3588a,False,H3588a,,17860,1,1,19-PSA
17861," \w לְ⁠מִשְׁפָּטֶ֣⁠ךָ|lemma=""מִשְׁפָּט"" strong=""l:H4941"" x-morph=""He,R:Ncmsc:Sp2ms""",119,43, לְ⁠מִשְׁפָּטֶ֣⁠ךָ,,"He,R:Ncmsc:Sp2ms",מִשְׁפָּט,l:H4941,True,H4941,,17861,1,1,19-PSA
17862," \w יִחָֽלְתִּי|lemma=""יָחַל"" strong=""H3176"" x-morph=""He,Vpp1cs""",119,43, יִחָֽלְתִּי,,"He,Vpp1cs",יָחַל,H3176,False,H3176,,17862,1,1,19-PSA
17864,"\w וְ⁠אֶשְׁמְרָ֖ה|lemma=""שָׁמַר"" strong=""c:H8104"" x-morph=""He,C:Vqh1cs""",119,44, וְ⁠אֶשְׁמְרָ֖ה,,"He,C:Vqh1cs",שָׁמַר,c:H8104,True,H8104,,17864,1,1,19-PSA
17865," \w תוֹרָתְ⁠ךָ֥|lemma=""תּוֹרָה"" strong=""H8451"" x-morph=""He,Ncfsc:Sp2ms"" x-tw=""rc://*/tw/dict/bible/kt/lawofmoses""",119,44, תוֹרָתְ⁠ךָ֥,,"He,Ncfsc:Sp2ms",תּוֹרָה,H8451,False,H8451,rc://*/tw/dict/bible/kt/lawofmoses,17865,1,1,19-PSA
17866," \w תָמִ֗יד|lemma=""תָּמִיד"" strong=""H8548"" x-morph=""He,Ncmsa""",119,44, תָמִ֗יד,,"He,Ncmsa",תָּמִיד,H8548,False,H8548,,17866,1,1,19-PSA
17867," \w לְ⁠עוֹלָ֥ם|lemma=""עוֹלָם"" strong=""l:H5769"" x-morph=""He,R:Ncmsa""",119,44, לְ⁠עוֹלָ֥ם,,"He,R:Ncmsa",עוֹלָם,l:H5769,True,H5769,,17867,1,1,19-PSA
17868," \w וָ⁠עֶֽד|lemma=""עַד"" strong=""c:H5703"" x-morph=""He,C:Ncmsa""",119,44, וָ⁠עֶֽד,,"He,C:Ncmsa",עַד,c:H5703,True,H5703,,17868,1,1,19-PSA
17870,"\w וְ⁠אֶתְהַלְּכָ֥ה|lemma=""הָלַךְ"" strong=""c:H1980"" x-morph=""He,C:Vth1cs""",119,45, וְ⁠אֶתְהַלְּכָ֥ה,,"He,C:Vth1cs",הָלַךְ,c:H1980,True,H1980,,17870,1,1,19-PSA
