index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
41," \w ἐπιστεύθην|lemma=""πιστεύω"" strong=""G41000"" x-morph=""Gr,V,IAP1,,S,"" x-tw=""rc://*/tw/dict/bible/kt/trust""",1,3, ἐπιστεύθην,,"Gr,V,IAP1,,S,",πιστεύω,G41000,False,G41000,rc://*/tw/dict/bible/kt/trust,41,1,1,57-TIT
42," \w ἐγὼ|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1N,S,""",1,3, ἐγὼ,,"Gr,RP,,,1N,S,",ἐγώ,G14730,False,G14730,,42,1,1,57-TIT
43,", \w κατ’|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,3, κατ’,", ","Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,43,1,1,57-TIT
44," \w ἐπιταγὴν|lemma=""ἐπιταγή"" strong=""G20030"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/command""",1,3, ἐπιταγὴν,,"Gr,N,,,,,AFS,",ἐπιταγή,G20030,False,G20030,rc://*/tw/dict/bible/kt/command,44,1,1,57-TIT
45," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",1,3, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,45,1,1,57-TIT
46," \w Σωτῆρος|lemma=""σωτήρ"" strong=""G49900"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/savior""",1,3, Σωτῆρος,,"Gr,N,,,,,GMS,",σωτήρ,G49900,False,G49900,rc://*/tw/dict/bible/kt/savior,46,1,1,57-TIT
47," \w ἡμῶν|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1G,P,""",1,3, ἡμῶν,,"Gr,RP,,,1G,P,",ἐγώ,G14730,False,G14730,,47,1,1,57-TIT
48,", \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",1,3, Θεοῦ,", ","Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,48,1,1,57-TIT
50,"\w Τίτῳ|lemma=""Τίτος"" strong=""G51030"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/names/titus""",1,4, Τίτῳ,,"Gr,N,,,,,DMS,",Τίτος,G51030,False,G51030,rc://*/tw/dict/bible/names/titus,50,1,1,57-TIT
51,", \w γνησίῳ|lemma=""γνήσιος"" strong=""G11030"" x-morph=""Gr,AA,,,,DNS,"" x-tw=""rc://*/tw/dict/bible/kt/true""",1,4, γνησίῳ,", ","Gr,AA,,,,DNS,",γνήσιος,G11030,False,G11030,rc://*/tw/dict/bible/kt/true,51,1,1,57-TIT
52," \w τέκνῳ|lemma=""τέκνον"" strong=""G50430"" x-morph=""Gr,N,,,,,DNS,"" x-tw=""rc://*/tw/dict/bible/kt/son""",1,4, τέκνῳ,,"Gr,N,,,,,DNS,",τέκνον,G50430,False,G50430,rc://*/tw/dict/bible/kt/son,52,1,1,57-TIT
53,", \w κατὰ|lemma=""κατά"" strong=""G25960"" x-morph=""Gr,P,,,,,A,,,""",1,4, κατὰ,", ","Gr,P,,,,,A,,,",κατά,G25960,False,G25960,,53,1,1,57-TIT
54," \w κοινὴν|lemma=""κοινός"" strong=""G28390"" x-morph=""Gr,AA,,,,AFS,""",1,4, κοινὴν,,"Gr,AA,,,,AFS,",κοινός,G28390,False,G28390,,54,1,1,57-TIT
