index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
1849," \w νενεκρωμένον|lemma=""νεκρόω"" strong=""G34990"" x-morph=""Gr,V,PEP,ANS,"" x-tw=""rc://*/tw/dict/bible/other/death""",4,19, νενεκρωμένον,,"Gr,V,PEP,ANS,",νεκρόω,G34990,False,G34990,rc://*/tw/dict/bible/other/death,1849,1,1,46-ROM
1850,", \w ἑκατονταετής|lemma=""ἑκατονταετής"" strong=""G15410"" x-morph=""Gr,NP,,,,NMS,""",4,19, ἑκατονταετής,", ","Gr,NP,,,,NMS,",ἑκατονταετής,G15410,False,G15410,,1850,1,1,46-ROM
1851," \w που|lemma=""πού"" strong=""G42250"" x-morph=""Gr,D,,,,,,,,,""",4,19, που,,"Gr,D,,,,,,,,,",πού,G42250,False,G42250,,1851,1,1,46-ROM
1852," \w ὑπάρχων|lemma=""ὑπάρχω"" strong=""G52250"" x-morph=""Gr,V,PPA,NMS,""",4,19, ὑπάρχων,,"Gr,V,PPA,NMS,",ὑπάρχω,G52250,False,G52250,,1852,1,1,46-ROM
1853,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",4,19, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,1853,2,2,46-ROM
1854," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",4,19, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,1854,1,1,46-ROM
1855," \w νέκρωσιν|lemma=""νέκρωσις"" strong=""G35000"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/other/death""",4,19, νέκρωσιν,,"Gr,N,,,,,AFS,",νέκρωσις,G35000,False,G35000,rc://*/tw/dict/bible/other/death,1855,1,1,46-ROM
1856," \w τῆς|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GFS,""",4,19, τῆς,,"Gr,EA,,,,GFS,",ὁ,G35880,False,G35880,,1856,1,1,46-ROM
1857," \w μήτρας|lemma=""μήτρα"" strong=""G33880"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/womb""",4,19, μήτρας,,"Gr,N,,,,,GFS,",μήτρα,G33880,False,G33880,rc://*/tw/dict/bible/other/womb,1857,1,1,46-ROM
1858," \w Σάρρας|lemma=""Σάρρα"" strong=""G45640"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/names/sarah""",4,19, Σάρρας,,"Gr,N,,,,,GFS,",Σάρρα,G45640,False,G45640,rc://*/tw/dict/bible/names/sarah,1858,1,1,46-ROM
1860,"\w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",4,20, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,1860,1,1,46-ROM
1861," \w δὲ|lemma=""δέ"" strong=""G11610"" x-morph=""Gr,CC,,,,,,,,""",4,20, δὲ,,"Gr,CC,,,,,,,,",δέ,G11610,False,G11610,,1861,1,1,46-ROM
1862," \w τὴν|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,AFS,""",4,20, τὴν,,"Gr,EA,,,,AFS,",ὁ,G35880,False,G35880,,1862,1,1,46-ROM
1863," \w ἐπαγγελίαν|lemma=""ἐπαγγελία"" strong=""G18600"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/promise""",4,20, ἐπαγγελίαν,,"Gr,N,,,,,AFS,",ἐπαγγελία,G18600,False,G18600,rc://*/tw/dict/bible/kt/promise,1863,1,1,46-ROM
1864," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,GMS,""",4,20, τοῦ,,"Gr,EA,,,,GMS,",ὁ,G35880,False,G35880,,1864,1,1,46-ROM
1865," \w Θεοῦ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,GMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",4,20, Θεοῦ,,"Gr,N,,,,,GMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,1865,1,1,46-ROM
1866,", \w οὐ|lemma=""οὐ"" strong=""G37560"" x-morph=""Gr,D,,,,,,,,,""",4,20, οὐ,", ","Gr,D,,,,,,,,,",οὐ,G37560,False,G37560,,1866,1,1,46-ROM
1867," \w διεκρίθη|lemma=""διακρίνω"" strong=""G12520"" x-morph=""Gr,V,IAP3,,S,""",4,20, διεκρίθη,,"Gr,V,IAP3,,S,",διακρίνω,G12520,False,G12520,,1867,1,1,46-ROM
1868," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",4,20, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,1868,2,1,46-ROM
1869," \w ἀπιστίᾳ|lemma=""ἀπιστία"" strong=""G05700"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/believe""",4,20, ἀπιστίᾳ,,"Gr,N,,,,,DFS,",ἀπιστία,G05700,False,G05700,rc://*/tw/dict/bible/kt/believe,1869,1,1,46-ROM
1870,", \w ἀλλ’|lemma=""ἀλλά"" strong=""G02350"" x-morph=""Gr,CC,,,,,,,,""",4,20, ἀλλ’,", ","Gr,CC,,,,,,,,",ἀλλά,G02350,False,G02350,,1870,1,1,46-ROM
1871," \w ἐνεδυναμώθη|lemma=""ἐνδυναμόω"" strong=""G17430"" x-morph=""Gr,V,IAP3,,S,"" x-tw=""rc://*/tw/dict/bible/other/strength""",4,20, ἐνεδυναμώθη,,"Gr,V,IAP3,,S,",ἐνδυναμόω,G17430,False,G17430,rc://*/tw/dict/bible/other/strength,1871,1,1,46-ROM
1872," \w τῇ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DFS,""",4,20, τῇ,,"Gr,EA,,,,DFS,",ὁ,G35880,False,G35880,,1872,2,2,46-ROM
1873," \w πίστει|lemma=""πίστις"" strong=""G41020"" x-morph=""Gr,N,,,,,DFS,"" x-tw=""rc://*/tw/dict/bible/kt/faith""",4,20, πίστει,,"Gr,N,,,,,DFS,",πίστις,G41020,False,G41020,rc://*/tw/dict/bible/kt/faith,1873,1,1,46-ROM
1874,", \w δοὺς|lemma=""δίδωμι"" strong=""G13250"" x-morph=""Gr,V,PAA,NMS,""",4,20, δοὺς,", ","Gr,V,PAA,NMS,",δίδωμι,G13250,False,G13250,,1874,1,1,46-ROM
1875," \w δόξαν|lemma=""δόξα"" strong=""G13910"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/glory""",4,20, δόξαν,,"Gr,N,,,,,AFS,",δόξα,G13910,False,G13910,rc://*/tw/dict/bible/kt/glory,1875,1,1,46-ROM
1876," \w τῷ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,EA,,,,DMS,""",4,20, τῷ,,"Gr,EA,,,,DMS,",ὁ,G35880,False,G35880,,1876,1,1,46-ROM
1877," \w Θεῷ|lemma=""θεός"" strong=""G23160"" x-morph=""Gr,N,,,,,DMS,"" x-tw=""rc://*/tw/dict/bible/kt/god""",4,20, Θεῷ,,"Gr,N,,,,,DMS,",θεός,G23160,False,G23160,rc://*/tw/dict/bible/kt/god,1877,1,1,46-ROM
1879,"\w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",4,21, καὶ,,"Gr,CC,,,,,,,,",καί,G25320,False,G25320,,1879,2,1,46-ROM
1880," \w πληροφορηθεὶς|lemma=""πληροφορέω"" strong=""G41350"" x-morph=""Gr,V,PAP,NMS,""",4,21, πληροφορηθεὶς,,"Gr,V,PAP,NMS,",πληροφορέω,G41350,False,G41350,,1880,1,1,46-ROM
1881," \w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",4,21, ὅτι,,"Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,1881,1,1,46-ROM
1882," \w ὃ|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,ANS,""",4,21, ὃ,,"Gr,RR,,,,ANS,",ὅς,G37390,False,G37390,,1882,1,1,46-ROM
1883," \w ἐπήγγελται|lemma=""ἐπαγγέλλω"" strong=""G18610"" x-morph=""Gr,V,IEM3,,S,"" x-tw=""rc://*/tw/dict/bible/kt/promise""",4,21, ἐπήγγελται,,"Gr,V,IEM3,,S,",ἐπαγγέλλω,G18610,False,G18610,rc://*/tw/dict/bible/kt/promise,1883,1,1,46-ROM
1884,", \w δυνατός|lemma=""δυνατός"" strong=""G14150"" x-morph=""Gr,NS,,,,NMS,"" x-tw=""rc://*/tw/dict/bible/kt/power""",4,21, δυνατός,", ","Gr,NS,,,,NMS,",δυνατός,G14150,False,G14150,rc://*/tw/dict/bible/kt/power,1884,1,1,46-ROM
1885," \w ἐστιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IPA3,,S,""",4,21, ἐστιν,,"Gr,V,IPA3,,S,",εἰμί,G15100,False,G15100,,1885,1,1,46-ROM
1886," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,D,,,,,,,,,""",4,21, καὶ,,"Gr,D,,,,,,,,,",καί,G25320,False,G25320,,1886,2,2,46-ROM
1887," \w ποιῆσαι|lemma=""ποιέω"" strong=""G41600"" x-morph=""Gr,V,NAA,,,,,""",4,21, ποιῆσαι,,"Gr,V,NAA,,,,,",ποιέω,G41600,False,G41600,,1887,1,1,46-ROM
1889,"\w διὸ|lemma=""διό"" strong=""G13520"" x-morph=""Gr,CC,,,,,,,,""",4,22, διὸ,,"Gr,CC,,,,,,,,",διό,G13520,False,G13520,,1889,1,1,46-ROM
1890," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,D,,,,,,,,,""",4,22, καὶ,,"Gr,D,,,,,,,,,",καί,G25320,False,G25320,,1890,1,1,46-ROM
1891," \w ἐλογίσθη|lemma=""λογίζομαι"" strong=""G30490"" x-morph=""Gr,V,IAP3,,S,""",4,22, ἐλογίσθη,,"Gr,V,IAP3,,S,",λογίζομαι,G30490,False,G30490,,1891,1,1,46-ROM
1892," \w αὐτῷ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3DMS,""",4,22, αὐτῷ,,"Gr,RP,,,3DMS,",αὐτός,G08460,False,G08460,,1892,1,1,46-ROM
1893," \w εἰς|lemma=""εἰς"" strong=""G15190"" x-morph=""Gr,P,,,,,A,,,""",4,22, εἰς,,"Gr,P,,,,,A,,,",εἰς,G15190,False,G15190,,1893,1,1,46-ROM
1894," \w δικαιοσύνην|lemma=""δικαιοσύνη"" strong=""G13430"" x-morph=""Gr,N,,,,,AFS,"" x-tw=""rc://*/tw/dict/bible/kt/righteous""",4,22, δικαιοσύνην,,"Gr,N,,,,,AFS,",δικαιοσύνη,G13430,False,G13430,rc://*/tw/dict/bible/kt/righteous,1894,1,1,46-ROM
1896,"\w οὐκ|lemma=""οὐ"" strong=""G37560"" x-morph=""Gr,DO,,,,,,,,""",4,23, οὐκ,,"Gr,DO,,,,,,,,",οὐ,G37560,False,G37560,,1896,1,1,46-ROM
1897," \w ἐγράφη|lemma=""γράφω"" strong=""G11250"" x-morph=""Gr,V,IAP3,,S,"" x-tw=""rc://*/tw/dict/bible/other/written""",4,23, ἐγράφη,,"Gr,V,IAP3,,S,",γράφω,G11250,False,G11250,rc://*/tw/dict/bible/other/written,1897,1,1,46-ROM
1898," \w δὲ|lemma=""δέ"" strong=""G11610"" x-morph=""Gr,CC,,,,,,,,""",4,23, δὲ,,"Gr,CC,,,,,,,,",δέ,G11610,False,G11610,,1898,1,1,46-ROM
1899," \w δι’|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,A,,,""",4,23, δι’,,"Gr,P,,,,,A,,,",διά,G12230,False,G12230,,1899,1,1,46-ROM
1900," \w αὐτὸν|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3AMS,""",4,23, αὐτὸν,,"Gr,RP,,,3AMS,",αὐτός,G08460,False,G08460,,1900,1,1,46-ROM
1901," \w μόνον|lemma=""μόνον"" strong=""G34400"" x-morph=""Gr,D,,,,,,,,,""",4,23, μόνον,,"Gr,D,,,,,,,,,",μόνον,G34400,False,G34400,,1901,1,1,46-ROM
1902,", \w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",4,23, ὅτι,", ","Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,1902,1,1,46-ROM
1903," \w ἐλογίσθη|lemma=""λογίζομαι"" strong=""G30490"" x-morph=""Gr,V,IAP3,,S,""",4,23, ἐλογίσθη,,"Gr,V,IAP3,,S,",λογίζομαι,G30490,False,G30490,,1903,1,1,46-ROM
1904," \w αὐτῷ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3DMS,""",4,23, αὐτῷ,,"Gr,RP,,,3DMS,",αὐτός,G08460,False,G08460,,1904,1,1,46-ROM
1906,"\w ἀλλὰ|lemma=""ἀλλά"" strong=""G02350"" x-morph=""Gr,CO,,,,,,,,""",4,24, ἀλλὰ,,"Gr,CO,,,,,,,,",ἀλλά,G02350,False,G02350,,1906,1,1,46-ROM
1907," \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,D,,,,,,,,,""",4,24, καὶ,,"Gr,D,,,,,,,,,",καί,G25320,False,G25320,,1907,1,1,46-ROM
1908," \w δι’|lemma=""διά"" strong=""G12230"" x-morph=""Gr,P,,,,,A,,,""",4,24, δι’,,"Gr,P,,,,,A,,,",διά,G12230,False,G12230,,1908,1,1,46-ROM
1909," \w ἡμᾶς|lemma=""ἐγώ"" strong=""G14730"" x-morph=""Gr,RP,,,1A,P,""",4,24, ἡμᾶς,,"Gr,RP,,,1A,P,",ἐγώ,G14730,False,G14730,,1909,1,1,46-ROM
1910,", \w οἷς|lemma=""ὅς"" strong=""G37390"" x-morph=""Gr,RR,,,,DMP,""",4,24, οἷς,", ","Gr,RR,,,,DMP,",ὅς,G37390,False,G37390,,1910,1,1,46-ROM
