,token,chapter,verse,book
363,has,1,16,21-ECC
364,seen,1,16,21-ECC
365,great,1,16,21-ECC
366,wisdom,1,16,21-ECC
367,and,1,16,21-ECC
368,knowledge.”,1,16,21-ECC
369,So,1,17,21-ECC
370,I,1,17,21-ECC
371,applied,1,17,21-ECC
372,my,1,17,21-ECC
373,heart,1,17,21-ECC
374,to,1,17,21-ECC
375,know,1,17,21-ECC
376,wisdom,1,17,21-ECC
377,and,1,17,21-ECC
378,also,1,17,21-ECC
379,madness,1,17,21-ECC
380,and,1,17,21-ECC
381,folly.,1,17,21-ECC
382,I,1,17,21-ECC
383,came,1,17,21-ECC
384,to,1,17,21-ECC
385,understand,1,17,21-ECC
386,that,1,17,21-ECC
387,this,1,17,21-ECC
388,also,1,17,21-ECC
389,was,1,17,21-ECC
390,an,1,17,21-ECC
391,attempt,1,17,21-ECC
392,to,1,17,21-ECC
393,shepherd,1,17,21-ECC
394,the,1,17,21-ECC
395,wind.,1,17,21-ECC
396,For,1,18,21-ECC
397,in,1,18,21-ECC
398,the,1,18,21-ECC
399,abundance,1,18,21-ECC
400,of,1,18,21-ECC
401,wisdom,1,18,21-ECC
402,there,1,18,21-ECC
403,is,1,18,21-ECC
404,much,1,18,21-ECC
405,"frustration,",1,18,21-ECC
406,and,1,18,21-ECC
407,he,1,18,21-ECC
408,who,1,18,21-ECC
409,increases,1,18,21-ECC
410,knowledge,1,18,21-ECC
411,increases,1,18,21-ECC
412,sorrow.,1,18,21-ECC
413,\s5,1,18,21-ECC
414,I,2,1,21-ECC
415,said,2,1,21-ECC
416,in,2,1,21-ECC
417,my,2,1,21-ECC
418,"heart,",2,1,21-ECC
419,“Come,2,1,21-ECC
420,"now,",2,1,21-ECC
421,I,2,1,21-ECC
422,will,2,1,21-ECC
423,test,2,1,21-ECC
424,you,2,1,21-ECC
425,with,2,1,21-ECC
426,happiness.,2,1,21-ECC
427,So,2,1,21-ECC
428,enjoy,2,1,21-ECC
429,pleasure.”,2,1,21-ECC
430,But,2,1,21-ECC
431,"look,",2,1,21-ECC
432,this,2,1,21-ECC
433,also,2,1,21-ECC
434,was,2,1,21-ECC
435,just,2,1,21-ECC
436,a,2,1,21-ECC
437,temporary,2,1,21-ECC
438,breeze.,2,1,21-ECC
439,I,2,2,21-ECC
440,said,2,2,21-ECC
441,about,2,2,21-ECC
442,"laughter,",2,2,21-ECC
443,“It,2,2,21-ECC
444,is,2,2,21-ECC
445,"crazy,”",2,2,21-ECC
446,and,2,2,21-ECC
447,about,2,2,21-ECC
448,"pleasure,",2,2,21-ECC
449,“What,2,2,21-ECC
450,use,2,2,21-ECC
451,is,2,2,21-ECC
452,it?”,2,2,21-ECC
453,I,2,3,21-ECC
454,explored,2,3,21-ECC
455,in,2,3,21-ECC
456,my,2,3,21-ECC
457,heart,2,3,21-ECC
458,how,2,3,21-ECC
459,to,2,3,21-ECC
460,gratify,2,3,21-ECC
461,my,2,3,21-ECC
462,desires,2,3,21-ECC
463,with,2,3,21-ECC
464,wine.,2,3,21-ECC
465,I,2,3,21-ECC
466,let,2,3,21-ECC
467,my,2,3,21-ECC
468,mind,2,3,21-ECC
469,guide,2,3,21-ECC
470,me,2,3,21-ECC
471,with,2,3,21-ECC
472,wisdom,2,3,21-ECC
473,although,2,3,21-ECC
474,I,2,3,21-ECC
475,was,2,3,21-ECC
476,still,2,3,21-ECC
477,holding,2,3,21-ECC
478,on,2,3,21-ECC
479,to,2,3,21-ECC
480,folly.,2,3,21-ECC
481,I,2,3,21-ECC
482,wanted,2,3,21-ECC
483,to,2,3,21-ECC
484,find,2,3,21-ECC
485,out,2,3,21-ECC
486,what,2,3,21-ECC
487,is,2,3,21-ECC
488,good,2,3,21-ECC
489,for,2,3,21-ECC
490,people,2,3,21-ECC
491,to,2,3,21-ECC
492,do,2,3,21-ECC
493,under,2,3,21-ECC
494,heaven,2,3,21-ECC
495,during,2,3,21-ECC
496,the,2,3,21-ECC
497,days,2,3,21-ECC
498,of,2,3,21-ECC
499,their,2,3,21-ECC
500,lives.,2,3,21-ECC
501,I,2,4,21-ECC
502,accomplished,2,4,21-ECC
503,great,2,4,21-ECC
504,things.,2,4,21-ECC
505,I,2,4,21-ECC
506,built,2,4,21-ECC
507,houses,2,4,21-ECC
508,for,2,4,21-ECC
509,myself,2,4,21-ECC
510,and,2,4,21-ECC
511,planted,2,4,21-ECC
512,vineyards.,2,4,21-ECC
513,I,2,5,21-ECC
514,built,2,5,21-ECC
515,for,2,5,21-ECC
516,myself,2,5,21-ECC
517,gardens,2,5,21-ECC
518,and,2,5,21-ECC
519,parks;,2,5,21-ECC
520,I,2,5,21-ECC
521,planted,2,5,21-ECC
522,all,2,5,21-ECC
523,kinds,2,5,21-ECC
524,of,2,5,21-ECC
525,fruit,2,5,21-ECC
526,trees,2,5,21-ECC
527,in,2,5,21-ECC
528,them.,2,5,21-ECC
529,I,2,6,21-ECC
530,created,2,6,21-ECC
531,pools,2,6,21-ECC
532,of,2,6,21-ECC
533,water,2,6,21-ECC
534,to,2,6,21-ECC
535,water,2,6,21-ECC
536,a,2,6,21-ECC
537,forest,2,6,21-ECC
538,where,2,6,21-ECC
539,trees,2,6,21-ECC
540,were,2,6,21-ECC
541,grown.,2,6,21-ECC
542,I,2,7,21-ECC
543,purchased,2,7,21-ECC
544,male,2,7,21-ECC
545,slaves,2,7,21-ECC
546,and,2,7,21-ECC
547,female,2,7,21-ECC
548,slaves;,2,7,21-ECC
549,I,2,7,21-ECC
550,had,2,7,21-ECC
551,slaves,2,7,21-ECC
552,born,2,7,21-ECC
553,in,2,7,21-ECC
554,my,2,7,21-ECC
555,palace.,2,7,21-ECC
556,I,2,7,21-ECC
557,also,2,7,21-ECC
558,had,2,7,21-ECC
559,large,2,7,21-ECC
560,herds,2,7,21-ECC
561,and,2,7,21-ECC
562,flocks,2,7,21-ECC
563,of,2,7,21-ECC
564,"livestock,",2,7,21-ECC
565,much,2,7,21-ECC
566,more,2,7,21-ECC
567,than,2,7,21-ECC
568,any,2,7,21-ECC
569,king,2,7,21-ECC
570,who,2,7,21-ECC
571,ruled,2,7,21-ECC
572,before,2,7,21-ECC
573,me,2,7,21-ECC
574,in,2,7,21-ECC
575,Jerusalem.,2,7,21-ECC
576,I,2,8,21-ECC
577,also,2,8,21-ECC
578,accumulated,2,8,21-ECC
579,for,2,8,21-ECC
