,token,chapter,verse,book
363,altar.,1,13,03-LEV
364,It,1,13,03-LEV
365,is,1,13,03-LEV
366,a,1,13,03-LEV
367,burnt,1,13,03-LEV
368,"offering,",1,13,03-LEV
369,and,1,13,03-LEV
370,it,1,13,03-LEV
371,will,1,13,03-LEV
372,produce,1,13,03-LEV
373,a,1,13,03-LEV
374,sweet,1,13,03-LEV
375,aroma,1,13,03-LEV
376,for,1,13,03-LEV
377,Yahweh;,1,13,03-LEV
378,it,1,13,03-LEV
379,will,1,13,03-LEV
380,be,1,13,03-LEV
381,an,1,13,03-LEV
382,offering,1,13,03-LEV
383,made,1,13,03-LEV
384,to,1,13,03-LEV
385,him,1,13,03-LEV
386,by,1,13,03-LEV
387,fire.,1,13,03-LEV
388,\p,1,13,03-LEV
389,If,1,14,03-LEV
390,his,1,14,03-LEV
391,offering,1,14,03-LEV
392,to,1,14,03-LEV
393,Yahweh,1,14,03-LEV
394,is,1,14,03-LEV
395,to,1,14,03-LEV
396,be,1,14,03-LEV
397,a,1,14,03-LEV
398,burnt,1,14,03-LEV
399,offering,1,14,03-LEV
400,of,1,14,03-LEV
401,"birds,",1,14,03-LEV
402,then,1,14,03-LEV
403,he,1,14,03-LEV
404,must,1,14,03-LEV
405,bring,1,14,03-LEV
406,as,1,14,03-LEV
407,his,1,14,03-LEV
408,offering,1,14,03-LEV
409,either,1,14,03-LEV
410,a,1,14,03-LEV
411,dove,1,14,03-LEV
412,or,1,14,03-LEV
413,a,1,14,03-LEV
414,young,1,14,03-LEV
415,pigeon.,1,14,03-LEV
416,The,1,15,03-LEV
417,priest,1,15,03-LEV
418,must,1,15,03-LEV
419,bring,1,15,03-LEV
420,it,1,15,03-LEV
421,to,1,15,03-LEV
422,the,1,15,03-LEV
423,"altar,",1,15,03-LEV
424,wring,1,15,03-LEV
425,off,1,15,03-LEV
426,its,1,15,03-LEV
427,"head,",1,15,03-LEV
428,and,1,15,03-LEV
429,burn,1,15,03-LEV
430,it,1,15,03-LEV
431,on,1,15,03-LEV
432,the,1,15,03-LEV
433,altar.,1,15,03-LEV
434,Then,1,15,03-LEV
435,its,1,15,03-LEV
436,blood,1,15,03-LEV
437,must,1,15,03-LEV
438,be,1,15,03-LEV
439,drained,1,15,03-LEV
440,out,1,15,03-LEV
441,on,1,15,03-LEV
442,the,1,15,03-LEV
443,side,1,15,03-LEV
444,of,1,15,03-LEV
445,the,1,15,03-LEV
446,altar.,1,15,03-LEV
447,He,1,16,03-LEV
448,must,1,16,03-LEV
449,remove,1,16,03-LEV
450,its,1,16,03-LEV
451,crop,1,16,03-LEV
452,with,1,16,03-LEV
453,its,1,16,03-LEV
454,"contents,",1,16,03-LEV
455,and,1,16,03-LEV
456,throw,1,16,03-LEV
457,it,1,16,03-LEV
458,beside,1,16,03-LEV
459,the,1,16,03-LEV
460,altar,1,16,03-LEV
461,on,1,16,03-LEV
462,the,1,16,03-LEV
463,east,1,16,03-LEV
464,"side,",1,16,03-LEV
465,in,1,16,03-LEV
466,the,1,16,03-LEV
467,place,1,16,03-LEV
468,for,1,16,03-LEV
469,the,1,16,03-LEV
470,ashes.,1,16,03-LEV
471,He,1,17,03-LEV
472,must,1,17,03-LEV
473,tear,1,17,03-LEV
474,it,1,17,03-LEV
475,open,1,17,03-LEV
476,by,1,17,03-LEV
477,its,1,17,03-LEV
478,"wings,",1,17,03-LEV
479,but,1,17,03-LEV
480,he,1,17,03-LEV
481,must,1,17,03-LEV
482,not,1,17,03-LEV
483,divide,1,17,03-LEV
484,it,1,17,03-LEV
485,into,1,17,03-LEV
486,two,1,17,03-LEV
487,parts.,1,17,03-LEV
488,Then,1,17,03-LEV
489,the,1,17,03-LEV
490,priest,1,17,03-LEV
491,will,1,17,03-LEV
492,burn,1,17,03-LEV
493,it,1,17,03-LEV
494,on,1,17,03-LEV
495,the,1,17,03-LEV
496,"altar,",1,17,03-LEV
497,on,1,17,03-LEV
498,the,1,17,03-LEV
499,wood,1,17,03-LEV
500,that,1,17,03-LEV
501,is,1,17,03-LEV
502,on,1,17,03-LEV
503,the,1,17,03-LEV
504,fire.,1,17,03-LEV
505,It,1,17,03-LEV
506,will,1,17,03-LEV
507,be,1,17,03-LEV
508,a,1,17,03-LEV
509,burnt,1,17,03-LEV
510,"offering,",1,17,03-LEV
511,and,1,17,03-LEV
512,it,1,17,03-LEV
513,will,1,17,03-LEV
514,produce,1,17,03-LEV
515,a,1,17,03-LEV
516,sweet,1,17,03-LEV
517,aroma,1,17,03-LEV
518,for,1,17,03-LEV
519,Yahweh;,1,17,03-LEV
520,it,1,17,03-LEV
521,will,1,17,03-LEV
522,be,1,17,03-LEV
523,an,1,17,03-LEV
524,offering,1,17,03-LEV
525,made,1,17,03-LEV
526,to,1,17,03-LEV
527,him,1,17,03-LEV
528,by,1,17,03-LEV
529,fire.,1,17,03-LEV
530,\s5,1,17,03-LEV
531,When,2,1,03-LEV
532,anyone,2,1,03-LEV
533,brings,2,1,03-LEV
534,a,2,1,03-LEV
535,grain,2,1,03-LEV
536,offering,2,1,03-LEV
537,to,2,1,03-LEV
538,"Yahweh,",2,1,03-LEV
539,his,2,1,03-LEV
540,offering,2,1,03-LEV
541,must,2,1,03-LEV
542,be,2,1,03-LEV
543,fine,2,1,03-LEV
544,"flour,",2,1,03-LEV
545,and,2,1,03-LEV
546,he,2,1,03-LEV
547,will,2,1,03-LEV
548,pour,2,1,03-LEV
549,oil,2,1,03-LEV
550,on,2,1,03-LEV
551,it,2,1,03-LEV
552,and,2,1,03-LEV
553,put,2,1,03-LEV
554,incense,2,1,03-LEV
555,on,2,1,03-LEV
556,it.,2,1,03-LEV
557,He,2,2,03-LEV
558,is,2,2,03-LEV
559,to,2,2,03-LEV
560,take,2,2,03-LEV
561,the,2,2,03-LEV
562,offering,2,2,03-LEV
563,to,2,2,03-LEV
564,Aaron’s,2,2,03-LEV
565,sons,2,2,03-LEV
566,the,2,2,03-LEV
567,"priests,",2,2,03-LEV
568,and,2,2,03-LEV
569,there,2,2,03-LEV
570,the,2,2,03-LEV
571,priest,2,2,03-LEV
572,will,2,2,03-LEV
573,take,2,2,03-LEV
574,out,2,2,03-LEV
575,a,2,2,03-LEV
576,handful,2,2,03-LEV
577,of,2,2,03-LEV
578,the,2,2,03-LEV
579,fine,2,2,03-LEV
580,flour,2,2,03-LEV
581,with,2,2,03-LEV
582,the,2,2,03-LEV
583,oil,2,2,03-LEV
584,and,2,2,03-LEV
585,the,2,2,03-LEV
586,incense,2,2,03-LEV
587,on,2,2,03-LEV
588,it.,2,2,03-LEV
589,Then,2,2,03-LEV
590,the,2,2,03-LEV
591,priest,2,2,03-LEV
592,will,2,2,03-LEV
593,burn,2,2,03-LEV
594,the,2,2,03-LEV
595,offering,2,2,03-LEV
596,on,2,2,03-LEV
597,the,2,2,03-LEV
598,altar,2,2,03-LEV
599,as,2,2,03-LEV
600,a,2,2,03-LEV
601,representative,2,2,03-LEV
602,offering.,2,2,03-LEV
603,It,2,2,03-LEV
604,will,2,2,03-LEV
605,produce,2,2,03-LEV
606,a,2,2,03-LEV
607,sweet,2,2,03-LEV
608,aroma,2,2,03-LEV
609,for,2,2,03-LEV
610,Yahweh;,2,2,03-LEV
611,it,2,2,03-LEV
612,will,2,2,03-LEV
613,be,2,2,03-LEV
